source_record	lifecycle	queue	classification_rule	source_row_sha256	state_prefix
OI-7	active	BLOCKED-EXTERNAL	explicit-blocker	3f0f19c0b4f3c4960a5e04d6fb9fba7e687fc564bd9aef05a211a342ad6827bf	BLOCKED RE-SCOPED BY MEASUREMENT 2026-08-20: THE RESIDUAL IS DOCUMENTATION AND RECEIPT-ROUTING, NOT PHYSICS, AND IT IS S
OI-8	retired	-	explicit-terminal-prefix	2d549f64b9a7187ec6fd0d3a0add89acac6bdd6980505ae0c178eb77a3cc0250	CLOSED 2026-08-15 — ruled, corroboration MET, and the RULING'S BASIS WAS REFUTED WHILE ITS DISPOSITION HELD
OI-9	active	NOW	safe-default-active	00e9f8796f268caab4914f3c9c5df07ec2c63a613d4f4ca1577216627e4c3eb9	OPEN
OI-10	active	NOW	safe-default-active	1fff73e47df2038fcc4ff6a1df898ae153347e732447c037b81f262e221b468f	OPEN
OI-11	active	NOW	safe-default-active	42958d4e5a134926c1ddc76d5acff00a1fde9446781e5fe09d59b6eb71370ce4	OPEN
OI-12	active	NOW	safe-default-active	664998ca4bb7a148a09de85f5e88c42b5677fc90fa6e00445ec2afa19b7f91e0	OPEN
OI-13	active	WAITING-JOSEPH	explicit-user-decision	c899bf49b52d5749e43415e88370f87157d28249520d181c134e71651e3e2935	WAITING-USER
OI-14	active	NOW	safe-default-active	3e3b2d71beb783599766fba6f34e267bf360871acdd05175e49ad03ffe6bed0c	OPEN
OI-15	retired	-	explicit-terminal-prefix	865afc899570c06c1594dbe81423a8a5f5f7e7d67fb55c13a3d59b3f1378a7d6	PREMISE FALSE 2026-08-13 — the seed control already exists and is already receipt-bound; what is missing is execution-en
OI-16	retired	-	explicit-terminal-prefix	f0a268219dc04e993dadbcf2f272af4d89434e7c701e43ac9ed199d1e94157ea	DISCHARGED 2026-08-13 — reopens only if k is lowered
OI-17	active	WAITING-JOSEPH	explicit-user-decision	381c4d4346dee5ad8bf25dfe375f102009f009d226897f70daa033013d29727a	WAITING-USER
OI-18	active	BLOCKED-EXTERNAL	explicit-blocker	01133bf04e5396ecb310d22398830997c25133743a7dde8d859157769f879d45	BLOCKED
OI-19	active	BLOCKED-EXTERNAL	explicit-blocker	56fd397d67ce82b43a23da6c3fa7f6aff3b99f91a4716cd82ff42ddd9b89b273	BLOCKED
OI-20	active	BLOCKED-EXTERNAL	explicit-blocker	3a5cc0cb4b2c3f9b8d864f82719e3d1c743ba0194aef1ba4fead059bdf76650c	BLOCKED
OI-21	retired	-	explicit-terminal-prefix	48e84509e00d1d3d0fbb16a3ead1287a0ae102b08c4cdc8e9e06d6d1231a2973	DISCHARGED 2026-08-13 — and the tests are behavioural, not prose
OI-22	active	NOW	safe-default-active	0b5b3069f6e271d31165387d9198f7266ee900d4e0998519ac2450bd9cffc5d9	STILL OPEN — but RECLASSIFIED 2026-08-13: technical verification, NOT a user decision
OI-23	retired	-	explicit-terminal-prefix	5886a0c74d8051215d3f545fc8f04d1f6b0a36905f48bed304cee968f7fee2f0	DISCHARGED 2026-08-14 on the configuration question, with its second residual TRANSFERRED to OI-71 rather than dropped.
OI-24	active	BLOCKED-EXTERNAL	explicit-blocker	1ba53f10227e6b78134feca6da57a8a30163819ae4e6510562591a8cf991ae16	BLOCKED
OI-25	active	BLOCKED-EXTERNAL	explicit-blocker	808103caf5af4fc507354bffd5f3bafb809400e123567138e2d6fde515e386ed	BLOCKED
OI-26	active	BLOCKED-EXTERNAL	explicit-blocker	396b1623edc7a9fe6e648965035de9e2bf1db13412a917602273e11520e3cf91	BLOCKED
OI-27	active	BLOCKED-EXTERNAL	explicit-blocker	e9926f3ab72e043684d57ee895e0d6fcca2e27746de0ab2b0258e02cf5ff613a	BLOCKED
OI-28	active	BLOCKED-EXTERNAL	explicit-blocker	2785185d9fe8dab015f78e67b0c088498cbe4a34ec7831f48024074869c49e83	BLOCKED
OI-29	active	WAITING-JOSEPH	explicit-user-decision	fbe9c87f2a4567a2387fdaf1468d85864bb15e55f4386aefbaafa906d2623f0f	WAITING-USER
OI-30	active	NOW	safe-default-active	09e16bb02bf1aa482d26528d02855597fe01129c647a05571b2be0cee93303d0	OPEN
OI-56	deferred	-	explicit-deferred-prefix	04c5fd460f7864c0e7d4ec759dc00afca91511008b83cbb1ae0c8193522f3ef1	FROZEN — do not action pending the reco-underflow repair choice
OI-31	active	WAITING-JOSEPH	explicit-user-decision	e044a73d211daa9aae2cb36f29badf314b03a582dbf5f79728b4954cb357a33e	WAITING-USER
OI-32	active	BLOCKED-EXTERNAL	explicit-blocker	e0c29123a707966dbf952019f310bd82e5e82451232c5e8f13bc090619a35d6e	BLOCKED
OI-33	active	NOW	safe-default-active	6d5628a4ca75e6bf6aeb30661f23248289b95c39dbc08eabf98cef0c4e26b5ff	OPEN
OI-34	active	NOW	safe-default-active	be6fd59d50fa8cf699d8be425eabf8f680631af7444dcf127371104d5031e5d2	OPEN
OI-35	active	WAITING-JOSEPH	explicit-user-decision	f3ddee43bc2fc6fd2e4f5705d6432267962ec7c467b6d224828c52d865b6517c	WAITING-USER
OI-36	active	BLOCKED-EXTERNAL	explicit-blocker	8322494144ac54513835c9950ebf5b5699dc5f0d53f00ddbce229911c48b1628	BLOCKED
OI-37	active	WAITING-JOSEPH	explicit-user-decision	531ce9a3511023cdeb0f00edd2fa98d968e64a059fa381804f92641fa3be60ff	WAITING-USER
OI-38	retired	-	explicit-terminal-prefix	78ff510a1fa694cedd454374924b23ebf09db011e23351e965637012453eb3cd	SUPERSEDED 2026-08-13 — historical control; preserve provenance, do not resume
OI-39	active	NOW	safe-default-active	c66e8da54ab39fe840e2fa4454e36f10e575a11cb842cab7b2f3c155cf0d4714	OPEN
OI-40	active	BLOCKED-EXTERNAL	explicit-blocker	c2ed000033e96e2372a1f246b1da4cdfb3d98da6017fce64c79ec0bbce27a521	BLOCKED
OI-41	retired	-	explicit-terminal-prefix	e6620d28f5af653b0205f177c448c0add720cb9676a8993ef9f350d8ab3f05d2	CLOSED 2026-08-17 (lane E) BY DISPOSITION (a), on the mediator's explicit instruction — the rule now lives beside the nu
OI-42	active	BLOCKED-EXTERNAL	explicit-blocker	7931ffaed1eedd39ffef04844cbb54e5efa08ca14d0e9f6b0f706c3b9bcb9e70	BLOCKED
OI-43	active	WAITING-JOSEPH	explicit-user-decision	eba3132368ce2a4053c2140289ff978016cbbf53a244cf39e53a6be58dac2428	WAITING-USER (named action DONE 2026-08-12)
OI-44	active	BLOCKED-EXTERNAL	explicit-blocker	e4cedfccf937b17243cc9b71e2b153fdbb5eb3c59d4d6c6eb54caf70d4e15e1f	BLOCKED
OI-45	active	NOW	safe-default-active	8888e55507e89605d7b169e099bbebac60eee8f8bd8ebed0eaab40d0d1fcb227	OPEN
OI-46	retired	-	explicit-terminal-prefix	36ffc3c94a84f03f1d0c7b9352bf1fd217c7c9a98973ac6074cf61e02203d09b	DISCHARGED 2026-08-13 as a commit-gate question — the artifact is separately superseded
OI-47	active	NOW	safe-default-active	3ed755c361fc481291d704a942fcbc69bdd405021c75ab1a1eb20dea83e32441	OPEN (re-scoped 2026-08-12, owner Session A)
OI-48	retired	-	explicit-terminal-prefix	0b0bf4e60bb0a46ec892b797b000f021550645f46fa7ebfc123dc808f126c785	SUPERSEDED 2026-08-18 by OI-131 — THE DECISION THIS ROW RECORDS WAS REVERSED. Its narrative below is the 2026-08-13 stat
OI-49	active	NOW	safe-default-active	7aac3cbc470ad696f8a0c74547ea096a0e553a0f53fd1661081d268921366328	OPEN
OI-50	active	NOW	safe-default-active	56b71e59ad007bd2d4aeb346d1c5ee12b701ea3000bd7690d39a9062d6db00f1	NARROWED 2026-08-18 — one of the two archives is now ANSWERED, the other is not. mnv-p3f-pet-fullevent-final's 240 objec
OI-51	active	WAITING-JOSEPH	explicit-user-decision	96bdec48d03cf5688e58a021e1ecd44cfb9b7af88fc00833043d88f52f65d809	WAITING-USER
OI-52	active	WAITING-JOSEPH	explicit-user-decision	2803886d5f453ab3f6f1b94e1d52eaa0329e2edae0d0fc58d623832aa899b366	WAITING-USER
OI-53	active	WAITING-JOSEPH	explicit-user-decision	cd180f58f86fc63a4066c7b9b5f3421efb4995311fc64baf449e698d0fa93cf5	WAITING-USER
OI-54	active	WAITING-JOSEPH	explicit-user-decision	9ebe8c18130428f4faf9db3581d05f4d0fa68f24077347e85e673177ba5c3685	WAITING-USER
OI-55	retired	-	explicit-terminal-prefix	3b5ad0a71fd3df25863bbe657fa374ebb1a513f54628ef7d53ab17ded4c9d407	CLOSED 2026-08-13 — recorded here because the answer existed only in a message for four hours
OI-57	active	NOW	safe-default-active	bf4e8b61d23195e2ff51ccc5da6146afc65f1fe43dcc7cabc328a5670b8f1840	CLOSED-ON-MAIN / NOT-IN-PRODUCTION — SCOPE CORRECTED 2026-08-17 WITHIN THE HOUR, AGAINST MY OWN CLOSURE. I first marked
OI-58	active	NOW	safe-default-active	8a525d27c66c322b1e9153b1ce90db572743f18de6b72731c8658f59a5fe96ff	OPEN RE-TRIAGE RECOMMENDATION 2026-08-20 AFTER THE OI-126 RULING — RECOMMENDED, NOT RULED. Recommend reclassifying as a
OI-59	active	NOW	safe-default-active	4bb7cd09f2d50a716dccbd0e4d1730b5e2334e500ab61aedc72ca92f6bd40e8d	OPEN (raised 2026-08-13 by lane A)
OI-60	active	BLOCKED-EXTERNAL	explicit-blocker	d00d3b9f3d5163740174960d2883121597fc28dafface9cd59e4552326541a07	RE-COSTED 2026-08-17 (lane E) — IT IS NOT "BLOCKED ON NOTHING": THE FIX IS BLOCKED ON A GATE-2 RE-RUN, BY THIS REPO'S OW
OI-61	active	NOW	safe-default-active	ae33eeba324e9c64329c7e85dc4f88a7bb7e475914e2ac917102b31b31738da1	OPEN — AND RE-COSTED 2026-08-17 (lane E): IT TOUCHES A HASH-PINNED FILE, so it is not the cosmetic ride-along this row d
OI-62	active	WAITING-JOSEPH	explicit-user-decision	366c7d73466dcc171ce01c01f2bde0eb237924f7d99b2206b69efeb9eaeb9e52	(a) RESOLVED 2026-08-13 by Joseph; (b) MECHANISM LANDED 2026-08-14, CONVENTION STILL HIS; (c) still WAITING-USER
OI-64#1	active	NOW	safe-default-active	2ea76206e4028fab5d0c0c864878bfc33dbb51a9b7bc362377faa320b3d32d32	⚠ ID COLLISION — this is LANE A's OI-64. Lane C independently allocated the same id (see the other OI-64 row below, C's:
OI-65#1	active	NOW	safe-default-active	495fbffe70c6ea66cfe69b7c55eaadbe0d0638606c58391f597c5c0d3a617a8b	⚠ ID COLLISION — this is LANE A's OI-65. Lane C independently allocated the same id (see the other OI-65 row below, C's:
OI-63	deferred	-	explicit-deferred-prefix	00d5e0acfbc5480f1f2beaf45f6dcb61aa8e79b03688675c79475d565cdde3e8	DEFERRED 2026-08-13 by Joseph — do not re-raise before the publication reorganisation
OI-64#2	active	NOW	safe-default-active	aa00d4a7669ddb3e42e1756d59a4860676bb01db80d537bb98ecff7d190a6224	⚠ ID COLLISION — this is LANE C's OI-64. Lane A independently allocated the same id (see the other OI-64 row above, A's:
OI-65#2	active	NOW	safe-default-active	7b43a62df905d745429578bd1f158a64d80dd1e63174ef9cb9d52bb582808f07	⚠ ID COLLISION — this is LANE C's OI-65. Lane A independently allocated the same id (see the other OI-65 row above, A's:
OI-90	retired	-	explicit-terminal-prefix	33eef247854f276d8681eab915b20e1f8241b8946b3961ede901a8b5741ae054	CLOSED 2026-08-17 (lane E) — the narrowing is landed in RUNS.tsv:296, verbatim as this row prescribed, with the original
OI-91	retired	-	explicit-terminal-prefix	5f1d4759e941537c8d96e78f3266efc3156db917eb48f3c4b0f5ade3dc059775	CLOSED BY REFERENCE 2026-08-14, SAME DAY IT WAS RAISED — rank was dispositioned BEFORE LAUNCH and I should have been rea
OI-93	active	NOW	safe-default-active	01e172998d80733bbc781d4c31df5d859639c242ebc9ba594bcd96e29ab8dbe8	OPEN (raised 2026-08-14 by lane C; predeclared before any number exists) RE-TRIAGE RECOMMENDATION 2026-08-20 AFTER THE O
OI-92	retired	-	explicit-terminal-prefix	46814e957d7f5411a0d96e7d821bafeaeb6b83574fc9aa9107dbfc591c220ce6	CLOSED 2026-08-14 — PREMISE REFUTED, C_stat IS CORRECTLY NAMED, NO JOSEPH TURN NEEDED. (raised same day by lane C)
OI-94	active	NOW	safe-default-active	ce4f9c7d75f3e1339936d56392ae051c9d2aa7b0e5d85f9ef6593a40245686eb	OPEN (raised 2026-08-14 by lane C, as what survives OI-92's refutation)
OI-120	active	WAITING-JOSEPH	explicit-user-decision	5984185f2ccca724621947d58cd424c79d14db17a51cd8a60baca3f09e86acb1	WAITING-USER (raised 2026-08-14 by the personal-account mediator; first filing into block 120-129)
OI-121	active	NOW	safe-default-active	3f88868dfb4baaadd565771c54f03f3725a18840595dad0d6ab85e2729adcbbe	AUTHORIZED 2026-08-14 by Joseph (raised the same day by the personal-account mediator). SPEC LANDED 2026-08-14 05:00 PDT
OI-122	retired	-	explicit-terminal-prefix	c68f553dc1b0e9f5d2d42a8252593ce5d12b989562c8b80cfe35a2c1030e3123	BOTH ACTIONS EXECUTED 2026-08-14 by lane C. Action 1 authorized by Joseph, verbatim "Yes I authorize it", committed at 4
OI-80	retired	-	pointer-to-canonical-OI-122	e8b4350c306744ab52cfc0c2ea217f3047188e8db47a71b519681f34b64426de	OPEN — POINTER, not a second row. Raised 2026-08-14 by lane B independently and CONCURRENTLY with OI-122; that row is th
OI-81	retired	-	explicit-terminal-prefix	b9c97be8f83de7dd6c2cc5488b14a4e9c3b080542d100176286ef72d823ee8ea	CLOSED 2026-08-15 by lane C (PET), the script's owner, holding this lane BY DESIGNATION and not by continuity (BEN-324).
OI-96	active	NOW	safe-default-active	36e41e0d7c0d77dce4566c363a0441d1890068feae6a88b84e633aac0a9c916a	OPEN — a whole-file occurrence count is a crude proxy for pinning one line, and it is the instrument now standing in for
OI-82	retired	-	explicit-terminal-prefix	77adfc76dbf2041be324cb0fa68f4c3762114a5ef19b265be581932f608333ab	CLOSED 2026-08-17 by measurement (lane E) — AND IT WAS NEVER A THIRD MEASUREMENT. Closed by exactly the method this row
OI-123	active	NOW	safe-default-active	46759cb1792e09a00b0868506e30078202e379c5a5f302eb156e8261d83e37f5	OPEN — a landmine armed by a change that has already landed, and the fix is not this lane's to make. Raised 2026-08-14 b
OI-124	retired	-	explicit-terminal-prefix	a9c664e26816376e8daca41caaebac8e084da5a0d61bfa84d81ccc7bccbe3f56	CLOSED 2026-08-15 by the OI-124 disposition lane (peer session C) — DISPOSITION (a) TAKEN: P4 RETIRED, the ordering argu
OI-125	active	NOW	safe-default-active	a693e230d58e85de5f8ccbb9adc94f4d9dc1a81d6df6be5d6d052a3300907d39	STILL OPEN, AND NARROWED — 2026-08-15, after the instrument ran. The fix landed and it records the WRONG REDUCTION (BEN-
OI-126	active	WAITING-JOSEPH	explicit-user-decision	8a42b104ceb11b464d81228aa4c4f8a1b9e32d0454e710120ac5a14a2eba5261	RULED BY JOSEPH 2026-08-20 — THIS ROW NO LONGER NEEDS A RULING AND IS NOT A LIVE SCIENTIFIC QUESTION. His decision, VERB
OI-127	active	NOW	safe-default-active	44f6a7db291cf9ce869e0becc6d675e0c412ed3c048691b79f10de87aa9223a8	OPEN — raised 2026-08-15 by the propagation-correction lane. THE INTEGRITY GUARD CANNOT SEE THE GATE-5 IMPLEMENTATION PI
OI-128	active	NOW	safe-default-active	5939945e8ea185aac8d1eae495df4bcaca597c0ed3bf708bc17d084086d9f28e	NARROWED 2026-08-16 at 84d022b, NOT CLOSED — the receipt-side hole is shut; the execution-surface half is not. The adopt
OI-129	active	NOW	safe-default-active	08d7f6ceda8ea7b82b965ee50208e1e7b3d37d1451bd7b15928dc6947b583123	OPEN — raised 2026-08-16 by lane A (N3/N4 repair lane) while adjudicating the real-product C4 = M C5 Mᵀ identity. THE PR
OI-130	active	NOW	safe-default-active	dc26811dbf15dc7812ce70016a8b506c084ce18ff94bc4e39807e2f81b1ab5c1	OPEN — filed 2026-08-17 by the mediator, routed from lane C. A published macro's backing artifact was never tracked at a
OI-131	active	NOW	safe-default-active	25772bf369c0bf850beae55aa9061ff864402175fc110b57da2281e2bcdfdc30	OPEN — filed 2026-08-18. Supersedes OI-48, whose decision was reversed. (b) IS NOW DISCHARGED BY MEASUREMENT, 2026-08-20
OI-132	active	NOW	safe-default-active	de13b6579dd187b6f84bbab7c5ed8e66a391794b2128c649096dab72d078d634	OPEN — filed 2026-08-19 by lane E in the same commit as BEN-476. THE DIVERGENCE MANIFEST'S LARGEST BUCKET RESTS ON A CON
OI-133	active	NOW	safe-default-active	cd0cfeeb6947403f799be81d7ff9aff35e9f8a3b9dad870e5ac6fbe62e16eed1	OPEN — filed 2026-08-19 by lane E with BEN-477. NOTHING BINDS A CHECKPOINT TO THE RUN THAT WROTE IT, so a member's check
OI-134	retired	-	explicit-terminal-prefix	9f3018a7e1255cef48a068da6d14de467b7d7f6b2c18dded8c0b4fb3adf29d0f	BOTH ACTIONS EXECUTED 2026-08-19T12:40Z — and the authorised one FAILED, so the second was reached by a different route.
OI-135	active	BLOCKED-EXTERNAL	explicit-blocker	1ed9c80297a40e8c5836fd2071d48b55d4e33e549b4dc40a91226400a1b74dd1	BLOCKED ON maintenance_20260819 — every remaining step needs the cluster, and ssh exits 255 since 2026-08-19T13:00Z. Fil
OI-136	active	NOW	safe-default-active	cd2c348e5157a96fa89981535233b40dcbd4c934a8abf0c6a57d094f262d64ca	OPEN — the hardcoded cluster root is the FAIL-OPEN twin of OI-123, and today's fast-forward made it harmless-for-now rat
OI-137	active	NOW	safe-default-active	85713f9290390b74f9b9fb7aa554c903713857f122fdb656423681849e200b30	OPEN — filed 2026-08-20 by the close-out orchestrator. A HAZARD THAT IS PRESENTLY UNOWNED ON THE PUBLICATION CRITICAL PA
OI-138	active	NOW	safe-default-active	9b39ee77565bf276cd001004b359ecbad16542c287ac90e807662678a3cae7c8	OPEN
OI-139	active	NOW	safe-default-active	1ccc6f28d6820f5e7b5b83821c7f2e22ad677dd069e2348a6296d55b3b656262	OPEN
OI-178	retired	-	explicit-terminal-prefix	718c5d215905f47ebd8ef1699cc39665f69039824892957358477401aab5da2d	DISCHARGED 2026-08-30
