date_utc	phase	slurm_job	account	partition_qos	nodes	gpus	elapsed_s	gpu_hours	cpu_core_hours	state	purpose	source
2026-09-22	B2	58769978	m3246	shared	0	0	0	0.000	0.00	CANCELLED	T3 scalar ref (cancelled; ran in debug); wait_s=n/a	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58780654	m3246_g	gpu_debug	1	4	1802	2.002	64.07	TIMEOUT	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=751	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58780657	m3246_g	gpu_debug	1	4	942	1.047	33.49	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=1622	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58780659	m3246	debug	1	0	221	0.000	15.72	COMPLETED	T3 scalar reference; wait_s=215	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58781614	m3246_g	gpu_debug	0	0	0	0.000	0.00	CANCELLED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=n/a	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58781966	m3246_g	gpu_debug	1	4	1659	1.843	58.99	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=983	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58781967	m3246_g	gpu_debug	1	4	943	1.048	33.53	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=983	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58781990	m3246_g	gpu_preempt	0	0	0	0.000	0.00	CANCELLED	exp5 preempt pack (cancelled; moved to chain); wait_s=n/a	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58782367	m3246_g	gpu_debug	1	4	1665	1.850	59.20	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=97	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58782488	m3246_g	gpu_debug	1	4	1673	1.859	59.48	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=2608	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58782671	m3246_g	gpu_debug	1	4	1657	1.841	58.92	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=1569	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58783357	m3246_g	gpu_debug	1	4	1663	1.848	59.13	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=359	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58783360	m3246_g	gpu_debug	1	4	1663	1.848	59.13	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=346	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58783850	m3246_g	gpu_debug	1	4	943	1.048	33.53	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=66	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58783851	m3246_g	gpu_debug	1	4	1660	1.844	59.02	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=66	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58784064	m3246_g	gpu_debug	1	4	1659	1.843	58.99	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=107	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58784189	m3246_g	gpu_debug	1	4	946	1.051	33.64	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=84	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58784440	m3246_g	gpu_debug	1	4	1680	1.867	59.73	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=73	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58784444	m3246_g	gpu_debug	1	4	943	1.048	33.53	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=159	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58784708	m3246_g	gpu_debug	1	4	1641	1.823	58.35	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=86	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58784838	m3246_g	gpu_debug	1	4	988	1.098	35.13	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=92	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58785788	m3246_g	gpu_debug	1	4	203	0.226	7.22	RUNNING	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=94	phase_b/pet/resources-B2.tsv
2026-09-23	B2	58785789	m3246_g	gpu_debug	1	4	203	0.226	7.22	RUNNING	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=92	phase_b/pet/resources-B2.tsv
2026-09-22T08:41:15Z	B1	58741903	m3246	shared_milan_ss11/shared	1	0	89	0	0.890	COMPLETED	populations reproduction + input cache	phase_b/scalar/resources-B1.tsv
2026-09-22T12:43:39Z	B1	58748148	m3246	shared_milan_ss11/shared	1	0	501	0	1.392	COMPLETED	binned IBU k=1..50 (10 variants)	phase_b/scalar/resources-B1.tsv
2026-09-22T12:45:41Z	B1	58748149	m3246	shared_milan_ss11/shared	1	0	415	0	1.844	CANCELLED	truth learnability, cancelled by me to add the MLP input transform (superseded by 58748398)	phase_b/scalar/resources-B1.tsv
2026-09-22T12:45:41Z	B1	58748151	m3246	shared_milan_ss11/shared	1	0	0	0	0.000	CANCELLED	scalar OmniFold array, cancelled while PENDING (never ran; superseded by 58748399)	phase_b/scalar/resources-B1.tsv
2026-09-22T12:48:32Z	B1	58748397	m3246	shared_milan_ss11/shared	1	0	8	0	0.022	COMPLETED	oracle / identity / historical push anchors	phase_b/scalar/resources-B1.tsv
2026-09-22T12:52:11Z	B1	58748456	m3246	shared_milan_ss11/shared	1	0	9	0	0.025	COMPLETED	reference-model decomposition	phase_b/scalar/resources-B1.tsv
2026-09-22T13:17:17Z	B1	58748398	m3246	shared_milan_ss11/shared	1	0	1237	0	5.498	COMPLETED	truth-only learnability (3 input sets x hgb/mlp/mlp_raw x 3 seeds)	phase_b/scalar/resources-B1.tsv
2026-09-22T13:01:07Z	B1	58748399_0	m3246	shared_milan_ss11/shared	1	0	68	0	0.302	COMPLETED	scalar OmniFold muon/hgb/seed1, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:02:51Z	B1	58748399_1	m3246	shared_milan_ss11/shared	1	0	74	0	0.329	COMPLETED	scalar OmniFold muon/hgb/seed2, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:06:11Z	B1	58748399_2	m3246	shared_milan_ss11/shared	1	0	67	0	0.298	COMPLETED	scalar OmniFold muon/hgb/seed3, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:22:32Z	B1	58748399_3	m3246	shared_milan_ss11/shared	1	0	1048	0	4.658	COMPLETED	scalar OmniFold muon/mlp/seed1, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:29:57Z	B1	58748399_4	m3246	shared_milan_ss11/shared	1	0	891	0	3.960	COMPLETED	scalar OmniFold muon/mlp/seed2, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:40:37Z	B1	58748399_5	m3246	shared_milan_ss11/shared	1	0	1531	0	6.804	COMPLETED	scalar OmniFold muon/mlp/seed3, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:21:18Z	B1	58748399_6	m3246	shared_milan_ss11/shared	1	0	154	0	0.684	COMPLETED	scalar OmniFold muon_had/hgb/seed1, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:22:23Z	B1	58748399_7	m3246	shared_milan_ss11/shared	1	0	70	0	0.311	COMPLETED	scalar OmniFold muon_had/hgb/seed2, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:25:27Z	B1	58748399_8	m3246	shared_milan_ss11/shared	1	0	100	0	0.444	COMPLETED	scalar OmniFold muon_had/hgb/seed3, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:43:17Z	B1	58748399_9	m3246	shared_milan_ss11/shared	1	0	1008	0	4.480	COMPLETED	scalar OmniFold muon_had/mlp/seed1, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T14:24:52Z	B1	58748399_10	m3246	shared_milan_ss11/shared	1	0	3331	0	14.804	COMPLETED	scalar OmniFold muon_had/mlp/seed2, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:45:46Z	B1	58748399_11	m3246	shared_milan_ss11/shared	1	0	925	0	4.111	COMPLETED	scalar OmniFold muon_had/mlp/seed3, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:37:41Z	B1	58748399_12	m3246	shared_milan_ss11/shared	1	0	145	0	0.644	COMPLETED	scalar OmniFold muon_eavail/hgb/seed1, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:40:56Z	B1	58748399_13	m3246	shared_milan_ss11/shared	1	0	191	0	0.849	COMPLETED	scalar OmniFold muon_eavail/hgb/seed2, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T13:48:14Z	B1	58748399_14	m3246	shared_milan_ss11/shared	1	0	70	0	0.311	COMPLETED	scalar OmniFold muon_eavail/hgb/seed3, 20 iterations	phase_b/scalar/resources-B1.tsv
2026-09-22T17:59:14Z	E1	58756787	m3246	shared_milan_ss11/shared	1	0	145	0.000	0.725	FAILED	pool cache prep; FAILED (segfault: import ROOT crashes cling in root_6_28)	phase_e/resources-E1.tsv
	E1	58769952	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	pool caches (shared QOS); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58769953	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	D5 check (shared QOS); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58770033	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	toy (shared QOS); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58770073	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	superseded smoke test, cancelled before it ran	phase_e/resources-E1.tsv
	E1	58770074	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	identifiability smoke (shared QOS); cancelled, never ran	phase_e/resources-E1.tsv
	E1	58770115	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	references smoke (shared QOS); cancelled, never ran	phase_e/resources-E1.tsv
	E1	58770116	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	identifiability (shared QOS); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58770117_[0-2]	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	references r0 (shared QOS array); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58770118_[0-2]	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	references r1 (shared QOS array); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58770119_[0-2]	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	references r2 (shared QOS array); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
	E1	58770120	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	reference assessment (shared QOS); cancelled after 6 h PENDING, never ran	phase_e/resources-E1.tsv
2026-09-23T04:16:29Z	E1	58780643	m3246	regular_milan_ss11/debug	1	0	131	0.000	9.316	COMPLETED	pool T and pool S input caches, D3 standardization, censuses (debug QOS)	phase_e/resources-E1.tsv
2026-09-23T04:16:29Z	E1	58780644	m3246	regular_milan_ss11/debug	1	0	7	0.000	0.498	FAILED	D5 rebuild check; FAILED: root_6_28 has no uproot (check then run on the login node through the guard)	phase_e/resources-E1.tsv
2026-09-23T04:23:10Z	E1	58780734	m3246	regular_milan_ss11/debug	1	0	273	0.000	19.413	COMPLETED	identifiability: 20-split equal-model null	phase_e/resources-E1.tsv
2026-09-23T04:23:10Z	E1	58780737	m3246	regular_milan_ss11/debug	1	0	418	0.000	29.724	FAILED	references r0 chunk 0; FAILED on a NaN (0/0 E_avail ratio), superseded by 58780900	phase_e/resources-E1.tsv
2026-09-23T04:30:58Z	E1	58780834	m3246	regular_milan_ss11/debug	1	0	212	0.000	15.076	COMPLETED	identifiability: 33 distortions + permutation nulls	phase_e/resources-E1.tsv
2026-09-23T04:34:48Z	E1	58780900	m3246	regular_milan_ss11/debug	1	0	493	0.000	35.058	COMPLETED	references r0 chunk 0	phase_e/resources-E1.tsv
2026-09-23T04:34:48Z	E1	58780902	m3246	regular_milan_ss11/debug	1	0	526	0.000	37.404	COMPLETED	references r0 chunk 1	phase_e/resources-E1.tsv
2026-09-23T04:43:49Z	E1	58781106	m3246	regular_milan_ss11/debug	1	0	471	0.000	33.493	COMPLETED	references r0 chunk 2	phase_e/resources-E1.tsv
2026-09-23T04:43:49Z	E1	58781107	m3246	regular_milan_ss11/debug	1	0	11	0.000	0.782	COMPLETED	known-function toy (engine normalization only)	phase_e/resources-E1.tsv
2026-09-23T04:45:44Z	E1	58781132	m3246	regular_milan_ss11/debug	1	0	495	0.000	35.200	COMPLETED	references r1 chunk 0	phase_e/resources-E1.tsv
2026-09-23T04:52:43Z	E1	58781324	m3246	regular_milan_ss11/debug	1	0	2	0.000	0.142	FAILED	references r1 chunk 1; FAILED in 2 s: hand-typed pin SHA refused by the wrapper	phase_e/resources-E1.tsv
2026-09-23T05:27:11Z	E1	58781969	m3246	regular_milan_ss11/debug	1	0	512	0.000	36.409	COMPLETED	references r1 chunk 1	phase_e/resources-E1.tsv
2026-09-23T05:27:11Z	E1	58781970	m3246	regular_milan_ss11/debug	1	0	482	0.000	34.276	COMPLETED	references r1 chunk 2	phase_e/resources-E1.tsv
2026-09-23T05:36:08Z	E1	58781972	m3246	regular_milan_ss11/debug	1	0	473	0.000	33.636	COMPLETED	references r2 chunk 0	phase_e/resources-E1.tsv
2026-09-23T05:36:08Z	E1	58781973	m3246	regular_milan_ss11/debug	1	0	501	0.000	35.627	COMPLETED	references r2 chunk 1	phase_e/resources-E1.tsv
2026-09-23T05:45:05Z	E1	58781974	m3246	regular_milan_ss11/debug	1	0	494	0.000	35.129	COMPLETED	references r2 chunk 2	phase_e/resources-E1.tsv
2026-09-23T05:45:05Z	E1	58782099	m3246	regular_milan_ss11/debug	1	0	830	0.000	59.022	COMPLETED	reference assessment (b): pool S at 1x and 8x	phase_e/resources-E1.tsv
2026-09-23T05:53:33Z	E1	58782108	m3246	regular_milan_ss11/debug	1	0	12	0.000	0.853	COMPLETED	known-function toy with the rate-matched variant	phase_e/resources-E1.tsv
2026-09-22T17:30Z	pools	58755437	m3246	regular_milan_ss11/debug	1	0	0	0	0	CANCELLED	first pool build (superseded before start: silent-skip bug)	pools/resources-pools.tsv
2026-09-22T17:34Z	pools	58755613	m3246	regular_milan_ss11/debug	1	0	101	0	7.18	COMPLETED	pool manifest build at 295572eb	pools/resources-pools.tsv
