# name	config	config_hash	selection	distortion	reference_run	extra_driver_args
S3P-H2S1K5-DEV2-D1_m0.350	../../../final_design/configs/S3P/S3P-H2S1K5-DEV2-D1_m0.350.json	edfad109dc44eb304761eb324813c677ce0181097d179ad9302bbebcd2af6cce	BANK:DEV:S3P:2	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV2-D1_m0.350	../../../final_design/configs/S3P/S3P-L128S1K5-DEV2-D1_m0.350.json	68693b20a10770786c28dcc6cbe7df7a717f77772c8de954b561cfea862d92ca	BANK:DEV:S3P:2	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV3-D1_m0.350	../../../final_design/configs/S3P/S3P-H2S1K5-DEV3-D1_m0.350.json	4b32717411d21cd5ce2fc9e2fd63b78c2c09d00ec25e7c282c7c39125048f3ca	BANK:DEV:S3P:3	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV3-D1_m0.350	../../../final_design/configs/S3P/S3P-L128S1K5-DEV3-D1_m0.350.json	3c89532ce05c68210c98aa96a5bfa3f878a4db7c972306d0fc770420e4c2dbde	BANK:DEV:S3P:3	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV0-D4c_p_up	../../../final_design/configs/S3P/S3P-H2S1K5-DEV0-D4c_p_up.json	6b74fc87c35beac1f067af22374a03978c3222d5364d7da598daf48a727c3c5a	BANK:DEV:S3P:0	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV0-D4c_p_up	../../../final_design/configs/S3P/S3P-L128S1K5-DEV0-D4c_p_up.json	33668ed2864fda24d5e0c5e6b0f0382cb95936e69f30db0d6dbe247c33bfb68e	BANK:DEV:S3P:0	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV1-D4c_p_up	../../../final_design/configs/S3P/S3P-H2S1K5-DEV1-D4c_p_up.json	c8fabc5f539d2ab1ec0d76f0a1474242a4d7e593e8ef10733abd763d9f0d8834	BANK:DEV:S3P:1	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV1-D4c_p_up	../../../final_design/configs/S3P/S3P-L128S1K5-DEV1-D4c_p_up.json	a5fe97cef7aadcc8cb62d16fa1f47b01f43c277cc7e3c987ec3d98e278167727	BANK:DEV:S3P:1	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV2-D4c_p_up	../../../final_design/configs/S3P/S3P-H2S1K5-DEV2-D4c_p_up.json	b319a6207f0995efb596191642507ecd5bd7c5719406a1b5416d31218e0bd87d	BANK:DEV:S3P:2	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV2-D4c_p_up	../../../final_design/configs/S3P/S3P-L128S1K5-DEV2-D4c_p_up.json	ad09fdee26dd0a246d9c753e7443c611ff04e1f166f32af6a40defd53b9d2e81	BANK:DEV:S3P:2	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV3-D4c_p_up	../../../final_design/configs/S3P/S3P-H2S1K5-DEV3-D4c_p_up.json	64b62d1b506f3362af328fef6d10a322c80b45858c786bec0aca225c591daf69	BANK:DEV:S3P:3	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV3-D4c_p_up	../../../final_design/configs/S3P/S3P-L128S1K5-DEV3-D4c_p_up.json	5c93d0efa7e443db43238a93f3530eefd5b3cebafa21ceaf5b01e01903d8ab0c	BANK:DEV:S3P:3	D4c_p_up	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV0-s1	../../../final_design/configs/S3P/S3P-H2S1K5-DEV0-s1.json	9619eddb83ab6fdfeb8cb7c7156e8c21a4c5579143c1b40ebeb0d65b973567a6	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV0-s1	../../../final_design/configs/S3P/S3P-L128S1K5-DEV0-s1.json	51536e98d213bfce8803f5b68917f29023423058e374bfee392931b09808b990	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV1-s1	../../../final_design/configs/S3P/S3P-H2S1K5-DEV1-s1.json	4e0dda1febb11438578c5baaa9839d2b10df159e0db7ce218ce11e418e5d1ed2	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV1-s1	../../../final_design/configs/S3P/S3P-L128S1K5-DEV1-s1.json	43c4fdd3d6995c9e92e3b572ff1fb431e4b1662c0e1c7886d74be68a22fe02bd	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV0-s2	../../../final_design/configs/S3P/S3P-H2S1K5-DEV0-s2.json	fcad711d517acd1168bba096d54eb586e2d3e2ca3df39a91c21be824f5dabf80	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV0-s2	../../../final_design/configs/S3P/S3P-L128S1K5-DEV0-s2.json	d6a7273b7a9a1bfce96f3b0fc62fc4518483d3e6cb71bc6ae660fe119ce4d4e8	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV1-s2	../../../final_design/configs/S3P/S3P-H2S1K5-DEV1-s2.json	4558aa1fe56f3b324ebdba941f5d2c2ab55bfeec16fb713d0116d608d7b01a95	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV1-s2	../../../final_design/configs/S3P/S3P-L128S1K5-DEV1-s2.json	bc33683d9990ba3724cc92964317e1779cd647b49949ef713dc77b5d045d4641	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV0-s3	../../../final_design/configs/S3P/S3P-H2S1K5-DEV0-s3.json	1d8d029b23afe4ebdef293defd6d4366799aed8657de28675e1dc8f1b717cbea	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV0-s3	../../../final_design/configs/S3P/S3P-L128S1K5-DEV0-s3.json	aa781e0f9e5d003a9d3a9b0833220402267a060f17831653156c107c0efe6af3	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV1-s3	../../../final_design/configs/S3P/S3P-H2S1K5-DEV1-s3.json	953d5793c5baab2c32b88e0642959efb0433b888165c2d93a236b5cb8861af04	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV1-s3	../../../final_design/configs/S3P/S3P-L128S1K5-DEV1-s3.json	7a65e8b7223e3e2776d2036c613ed9e5b38517a1b93ac45552a7b076cfa25f20	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
